Row,Faculty,AcademicCareer,CourseCode,CourseName,CourseID,OfferingSeq,Year,T,TermSeq,TermCode,SortKey,IsRedacted,FL,UF,AF,NF,PS,CR,DN,HD,AW,PW,CN,CO,CM,SY,EF,EC,EM,AS,PE,NC,FailSum,WithdrawSum,NonstdSum,OtherSum,Fail_norm,PS_norm,CR_norm,DN_norm,HD_norm,IsNonStandardGrading,Note,Index
15528,Faculty of Medicine,P,PHCM9103,Independent Study,055753,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15529,Faculty of Medicine and Health,P,PHCM9129,Prevent & Manag Chronic Dis,012846,1,2021,Term 3,5,21T3,20215,False,5.56,,,,38.89,38.89,13.89,,2.78,,,,,,,,,,,,5.56,2.78,,,5.72,40.0,40.0,14.29,0.0,False,,11.43
15530,Faculty of Medicine and Health,P,PHCM9132,Applied Research Methods: PH,058990,1,2021,Term 3,5,21T3,20215,False,1.96,,,,7.84,13.73,25.49,50.98,,,,,,,,,,,,,1.96,,,,1.96,7.84,13.73,25.49,50.98,False,,65.2
15531,Faculty of Medicine and Health,P,PHCM9143,Internship,063578,1,2021,Term 3,5,21T3,20215,False,,,6.25,,6.25,6.25,43.75,37.5,,,,,,,,,,,,,6.25,,,,6.25,6.25,6.25,43.75,37.5,False,,54.69
15532,Faculty of Medicine and Health,P,PHCM9144,Project (12 UoC),012857,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15533,Faculty of Medicine,P,PHCM9145,Project (6 UoC),052071,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15534,Faculty of Medicine and Health,P,PHCM9148,Minor Project (6 UoC),058993,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15535,Faculty of Medicine and Health,P,PHCM9151,Major Project (9 UoC),057658,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15536,Faculty of Medicine and Health,P,PHCM9152,Major Project (6 UoC),057659,1,2021,Term 3,5,21T3,20215,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Redacted by university under GIPA s.3(a)/3(b),
15537,Faculty of Medicine and Health,P,PHCM9331,Ethics and Law in PH,055800,1,2021,Term 3,5,21T3,20215,False,3.13,,,,,20.31,35.94,40.63,,,,,,,,,,,,,3.13,,,,3.13,0.0,20.31,35.94,40.63,False,,60.55
15538,Faculty of Medicine and Health,P,PHCM9440,Economic Evaluation in HC,063214,1,2021,Term 3,5,21T3,20215,False,5.71,,,4.29,11.43,20.0,44.29,11.43,1.43,1.43,,,,,,,,,,,10.0,2.86,,,10.29,11.77,20.59,45.59,11.77,False,,29.42
15539,Faculty of Medicine and Health,P,PHCM9517,Regression Methods,055760,1,2021,Term 3,5,21T3,20215,False,1.59,,,,4.76,14.29,22.22,55.56,1.59,,,,,,,,,,,,1.59,1.59,,,1.62,4.84,14.52,22.58,56.46,False,,69.76
15540,Faculty of Medicine and Health,P,PHCM9518,Epidemiological Methods,055761,1,2021,Term 3,5,21T3,20215,False,,,,,2.78,5.56,55.56,36.11,,,,,,,,,,,,,,,,,0.0,2.78,5.56,55.56,36.11,False,,65.28
